Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
57;infrastructure;HZN246116092;1C:3A:DE:FB:E2:17;;6;No;WPA2,AES-CCM,TKIP;No;54.0;0;6;0;2;0;0;2;;;Sat Dec  7 20:58:45 2019;Sat Dec  7 20:58:49 2019;-59;0;0;51.278469;7.229095;1.088000;41.560200;51.278492;7.229115;1.244000;41.560200;51.278469;7.229095;1.088000;0;0;0.0.0.0;
58;infrastructure;FRITZ!Box 7362 SL;08:96:D7:BE:C7:F5;;5;No;WPA2,AES-CCM;No;54.0;0;2;0;1;0;0;1;;;Sat Dec  7 20:58:45 2019;Sat Dec  7 20:58:47 2019;-61;0;0;51.278469;7.229095;1.088000;41.560200;51.278481;7.229104;1.244000;41.560200;51.278469;7.229095;1.088000;0;0;0.0.0.0;
59;infrastructure;HP-Print-37-Officejet 4630;D0:BF:9C:AB:0F:37;;6;No;WPA2,AES-CCM;No;54.0;0;2;0;0;0;0;0;;;Sat Dec  7 20:58:48 2019;Sat Dec  7 20:58:49 2019;-63;0;0;51.278481;7.229104;1.197000;26.980000;51.278492;7.229115;1.243000;26.980000;51.278481;7.229104;1.243000;0;0;0.0.0.0;
60;infrastructure;WLAN-KGM7ZV;DC:39:6F:42:4A:44;;1;No;WPA2,AES-CCM;No;54.0;0;1;0;0;0;0;0;;;Sat Dec  7 20:58:47 2019;Sat Dec  7 20:58:48 2019;-65;0;0;51.278481;7.229104;1.244000;19.731199;51.278481;7.229104;1.244000;19.731199;51.278481;7.229104;1.244000;0;0;0.0.0.0;
61;infrastructure;Bartman;44:4E:6D:60:D4:F7;;6;No;WPA2,AES-CCM;No;360.0;0;1;0;2;0;0;2;;;Sat Dec  7 20:53:46 2019;Sat Dec  7 20:58:48 2019;-70;0;0;51.277069;7.226827;1.060000;341.559998;51.278481;7.229104;1.244000;341.559998;51.277130;7.226886;1.151000;0;0;0.0.0.0;
62;infrastructure;Bartman-Gast;46:4E:6D:60:D4:F7;;6;No;WPA2,AES-CCM;No;360.0;0;2;0;0;0;0;0;;;Sat Dec  7 20:53:54 2019;Sat Dec  7 20:58:48 2019;-71;0;0;51.276993;7.226817;0.688000;135.354004;51.278481;7.229104;1.244000;135.354004;51.277039;7.226817;0.927000;0;0;0.0.0.0;
63;infrastructure;Telekom_FON;04:A2:22:58:7C:82;;6;No;OPN,None;No;54.0;0;4;0;0;0;0;0;;;Sat Dec  7 20:53:33 2019;Sat Dec  7 20:58:46 2019;-73;0;0;51.276970;7.226822;0.826000;205.309998;51.278469;7.229095;1.093000;205.309998;51.277229;7.226981;0.994000;0;0;0.0.0.0;
64;infrastructure;;2A:C6:8E:0E:2C:4A;;11;No;WPA2,AES-CCM;No;54.0;0;2;0;0;0;0;0;;;Sat Dec  7 20:58:45 2019;Sat Dec  7 20:58:46 2019;-75;0;0;51.278469;7.229095;1.088000;41.560200;51.278469;7.229095;1.093000;41.560200;51.278469;7.229095;1.088000;0;0;0.0.0.0;
65;infrastructure;Mesh;68:FF:7B:DF:86:12;;2;No;WPA2,AES-CCM,TKIP;No;360.0;0;2;0;0;0;0;0;;;Sat Dec  7 20:58:45 2019;Sat Dec  7 20:58:46 2019;-76;0;0;51.278469;7.229095;1.088000;41.560200;51.278469;7.229095;1.088000;41.560200;51.278469;7.229095;1.088000;0;0;0.0.0.0;
66;infrastructure;o2-WLAN18;E8:37:7A:08:06:D8;;8;No;WPA2,AES-CCM;No;54.0;0;2;0;0;0;0;0;;;Sat Dec  7 20:58:46 2019;Sat Dec  7 20:58:48 2019;-78;0;0;51.278481;7.229104;1.243000;19.731199;51.278481;7.229104;1.244000;19.731199;51.278481;7.229104;1.244000;0;0;0.0.0.0;
